city,country,admin_name,capital,population,id
Ithaca,United States,New York,,55137.0,1840000442
Kent,United States,Washington,,132319.0,1840018424
Kerrville,United States,Texas,,30623.0,1840020908
Dahlonega,United States,Georgia,,7294.0,1840014672
Racine,United States,Wisconsin,,130142.0,1840002493
Castro Valley,United States,California,,63013.0,1840017620
Greenwich,United States,Connecticut,,62587.0,1840034747
Toyama,Japan,Toyama,admin,413028.0,1392000560
Coeur d'Alene,United States,Idaho,,116834.0,1840018402
Lake Zurich,United States,Illinois,,19877.0,1840011160
Anoka,United States,Minnesota,,17549.0,1840006717
Antelope,United States,California,,48398.0,1840022490
Schiller Park,United States,Illinois,,11403.0,1840011320
Dearborn Heights,United States,Michigan,,55353.0,1840003970
Reynoldsburg,United States,Ohio,,38327.0,1840009473
Surin,Thailand,Surin,admin,39728.0,1764813179
Oxon Hill,United States,Maryland,,18080.0,1840026688
Ipoh,Malaysia,Perak,admin,866772.0,1458423505
Joplin,United States,Missouri,,84048.0,1840008771
Deming,United States,New Mexico,,13924.0,1840019458
Marshalltown,United States,Iowa,,26666.0,1840008112
Camarillo,United States,California,,76931.0,1840019201
Pittsfield,United States,Massachusetts,,55697.0,1840003116
Paisley,United Kingdom,Renfrewshire,,77310.0,1826549531
Sugar Land,United States,Texas,,118488.0,1840022217
Rockville,United States,Maryland,,68079.0,1840005849
Plano,United States,Texas,,287677.0,1840020662
Cave Creek,United States,Arizona,,5838.0,1840022915
Brentwood,United States,New York,,63399.0,1840005021
Somers,United States,New York,,21487.0,1840058503
Benton,United States,Arkansas,,36820.0,1840013572
Lufkin,United States,Texas,,44867.0,1840020840
Haltom City,United States,Texas,,43874.0,1840020698
Gas City,United States,Indiana,,5772.0,1840008338
Villa Park,United States,Illinois,,21483.0,1840011412
Corpus Christi,United States,Texas,,342464.0,1840019718
Alicante,Spain,Valencia,minor,337482.0,1724923163
Tupelo,United States,Mississippi,,45466.0,1840015561
Bethel Park,United States,Pennsylvania,,32345.0,1840001206
Kerman,Iran,Kermān,admin,573449.0,1364554896
Phillipsburg,United States,New Jersey,,14212.0,1840000944
Harmelen,Netherlands,Utrecht,,7884.0,1528649353
Casper,United States,Wyoming,,67598.0,1840038324
Fort Washington,United States,Maryland,,24237.0,1840005953
Nanuet,United States,New York,,17517.0,1840004963
Palmer,United States,Pennsylvania,,21345.0,1840149341
Brea,United States,California,,43255.0,1840019323
Bessemer,United States,Alabama,,26472.0,1840013732
Buda,United States,Texas,,16906.0,1840019605
Reynosa,Mexico,Tamaulipas,minor,725793.0,1484737671
Fernie,Canada,British Columbia,,5249.0,1124927114
Great Neck,United States,New York,,10209.0,1840005290
Aachen,Germany,North Rhine-Westphalia,minor,247380.0,1276805572
Mills River,United States,North Carolina,,7406.0,1840016370
Fairfax,United States,Virginia,,24019.0,1840001650
Absecon,United States,New Jersey,,8818.0,1840003797
Chaguanas,Trinidad And Tobago,Chaguanas,admin,83489.0,1780795054
Bemidji,United States,Minnesota,,16807.0,1840006600
Fort Knox,United States,Kentucky,,8695.0,1840073833
Christchurch,New Zealand,Canterbury,admin,377200.0,1554377228
Sechelt,Canada,British Columbia,,10200.0,1124845591
Wolverhampton,United Kingdom,Wolverhampton,,254406.0,1826636841
Knoxville,United States,Tennessee,,586048.0,1840014486
North Ogden,United States,Utah,,20582.0,1840020134
Unionville,United States,North Carolina,,7195.0,1840016457
Stony Brook,United States,New York,,12428.0,1840005104
Gray,United States,Maine,,8117.0,1840052837
Wenzhou,China,Zhejiang,,4310000.0,1156188829
Wilmette,United States,Illinois,,27089.0,1840011316
Wakayama,Japan,Wakayama,admin,353299.0,1392907296
Menlo Park,United States,California,,34698.0,1840020305
Mequon,United States,Wisconsin,,24382.0,1840037989
Aliso Viejo,United States,California,,50887.0,1840019321
Evergreen,United States,Colorado,,8885.0,1840017539
Celebration,United States,Florida,,9923.0,1840014138
Barre,United States,Vermont,,20421.0,1840002186
Fort Bragg,United States,California,,10374.0,1840020189
Cheshire,United States,Connecticut,,29147.0,1840044994
McAllen,United States,Texas,,804114.0,1840021024
Hauppauge,United States,New York,,20005.0,1840005077
Oranjestad,Aruba,,primary,34980.0,1533513057
